sqft,bedrooms,bathrooms,clean_type,clutter,fridge,oven,labor_hours,clock_hours,rate_check_hours,price,solo_label,solo_hours,solo_price
800,1,5,standard,medium,yes,no,1.7,0.85,3.08,75,SOLO STANDARD,1.7,75
800,1,5,standard,medium,yes,yes,2.33,1.17,5.18,105,SOLO STANDARD,2.33,105
800,1,5,standard,high,no,no,2.73,1.37,3.43,125,SOLO STANDARD,2.73,125
800,1,5,standard,high,no,yes,3.36,1.68,5.53,150,SOLO STANDARD,3.36,150
800,1,5,standard,high,yes,no,2.42,1.21,5.13,110,SOLO STANDARD,2.42,110
800,1,5,standard,high,yes,yes,3.05,1.53,7.23,135,SOLO STANDARD,3.05,135
800,1,5,deep,low,no,no,3.51,1.75,2.15,160,SOLO DEEP,3.51,160
800,1,5,deep,low,no,yes,4.14,2.07,4.25,185,SOLO DEEP,4.14,185
800,1,5,deep,low,yes,no,3.2,1.6,3.85,145,SOLO DEEP,3.2,145
800,1,5,deep,low,yes,yes,3.83,1.91,5.95,170,SOLO DEEP,3.83,170
800,1,5,deep,medium,no,no,3.8,1.9,2.78,170,SOLO DEEP,3.8,170
800,1,5,deep,medium,no,yes,4.43,2.22,4.88,200,SOLO DEEP,4.43,200
800,1,5,deep,medium,yes,no,3.49,1.75,4.48,155,SOLO DEEP,3.49,155
800,1,5,deep,medium,yes,yes,4.12,2.06,6.58,185,SOLO DEEP,4.12,185
800,1,5,deep,high,no,no,4.53,2.26,6.89,205,SOLO DEEP,4.53,205
800,1,5,deep,high,no,yes,5.16,2.58,8.99,230,SOLO DEEP,5.16,230
800,1,5,deep,high,yes,no,4.22,2.11,8.59,190,SOLO DEEP,4.22,190
800,1,5,deep,high,yes,yes,4.84,2.42,10.69,220,SOLO DEEP,4.84,220
800,2,1,standard,low,no,no,1.68,0.84,1.07,75,SOLO STANDARD,1.68,75
800,2,1,standard,low,no,yes,2.31,1.15,3.17,105,SOLO STANDARD,2.31,105
800,2,1,standard,low,yes,no,1.37,0.68,2.77,60,SOLO STANDARD,1.37,60
800,2,1,standard,low,yes,yes,1.99,1,4.87,90,SOLO STANDARD,1.99,90
800,2,1,standard,medium,no,no,1.97,0.99,1.38,90,SOLO STANDARD,1.97,90
800,2,1,standard,medium,no,yes,2.6,1.3,3.48,115,SOLO STANDARD,2.6,115
800,2,1,standard,medium,yes,no,1.66,0.83,3.08,75,SOLO STANDARD,1.66,75
800,2,1,standard,medium,yes,yes,2.29,1.15,5.18,105,SOLO STANDARD,2.29,105
800,2,1,standard,high,no,no,2.69,1.35,3.43,120,SOLO STANDARD,2.69,120
800,2,1,standard,high,no,yes,3.32,1.66,5.53,150,SOLO STANDARD,3.32,150
800,2,1,standard,high,yes,no,2.38,1.19,5.13,105,SOLO STANDARD,2.38,105
800,2,1,standard,high,yes,yes,3.01,1.51,7.23,135,SOLO STANDARD,3.01,135
800,2,1,deep,low,no,no,3.47,1.73,2.15,155,SOLO DEEP,3.47,155
800,2,1,deep,low,no,yes,4.1,2.05,4.25,185,SOLO DEEP,4.1,185
800,2,1,deep,low,yes,no,3.16,1.58,3.85,140,SOLO DEEP,3.16,140
800,2,1,deep,low,yes,yes,3.79,1.89,5.95,170,SOLO DEEP,3.79,170
800,2,1,deep,medium,no,no,3.76,1.88,2.78,170,SOLO DEEP,3.76,170
800,2,1,deep,medium,no,yes,4.39,2.2,4.88,200,SOLO DEEP,4.39,200
800,2,1,deep,medium,yes,no,3.45,1.73,4.48,155,SOLO DEEP,3.45,155
800,2,1,deep,medium,yes,yes,4.08,2.04,6.58,185,SOLO DEEP,4.08,185
800,2,1,deep,high,no,no,4.49,2.24,6.89,200,SOLO DEEP,4.49,200
800,2,1,deep,high,no,yes,5.12,2.56,8.99,230,SOLO DEEP,5.12,230
800,2,1,deep,high,yes,no,4.18,2.09,8.59,190,SOLO DEEP,4.18,190
800,2,1,deep,high,yes,yes,4.8,2.4,10.69,215,SOLO DEEP,4.8,215
800,2,2,standard,low,no,no,1.83,0.91,1.07,80,SOLO STANDARD,1.83,80
800,2,2,standard,low,no,yes,2.46,1.23,3.17,110,SOLO STANDARD,2.46,110
800,2,2,standard,low,yes,no,1.52,0.76,2.77,70,SOLO STANDARD,1.52,70
800,2,2,standard,low,yes,yes,2.15,1.07,4.87,95,SOLO STANDARD,2.15,95
800,2,2,standard,medium,no,no,2.12,1.06,1.38,95,SOLO STANDARD,2.12,95
800,2,2,standard,medium,no,yes,2.75,1.38,3.48,125,SOLO STANDARD,2.75,125
800,2,2,standard,medium,yes,no,1.81,0.91,3.08,80,SOLO STANDARD,1.81,80
800,2,2,standard,medium,yes,yes,2.44,1.22,5.18,110,SOLO STANDARD,2.44,110
800,2,2,standard,high,no,no,2.84,1.42,3.43,130,SOLO STANDARD,2.84,130
800,2,2,standard,high,no,yes,3.47,1.74,5.53,155,SOLO STANDARD,3.47,155
800,2,2,standard,high,yes,no,2.53,1.27,5.13,115,SOLO STANDARD,2.53,115
800,2,2,standard,high,yes,yes,3.16,1.58,7.23,140,SOLO STANDARD,3.16,140
800,2,2,deep,low,no,no,3.62,1.81,2.15,165,SOLO DEEP,3.62,165
800,2,2,deep,low,no,yes,4.25,2.12,4.25,190,SOLO DEEP,4.25,190
800,2,2,deep,low,yes,no,3.31,1.65,3.85,150,SOLO DEEP,3.31,150
800,2,2,deep,low,yes,yes,3.94,1.97,5.95,175,SOLO DEEP,3.94,175
800,2,2,deep,medium,no,no,3.91,1.96,2.78,175,SOLO DEEP,3.91,175
800,2,2,deep,medium,no,yes,4.54,2.27,4.88,205,SOLO DEEP,4.54,205
800,2,2,deep,medium,yes,no,3.6,1.8,4.48,160,SOLO DEEP,3.6,160
800,2,2,deep,medium,yes,yes,4.23,2.12,6.58,190,SOLO DEEP,4.23,190
800,2,2,deep,high,no,no,4.64,2.32,6.89,210,SOLO DEEP,4.64,210
800,2,2,deep,high,no,yes,5.27,2.63,8.99,235,SOLO DEEP,5.27,235
800,2,2,deep,high,yes,no,4.33,2.16,8.59,195,SOLO DEEP,4.33,195
800,2,2,deep,high,yes,yes,4.95,2.48,10.69,225,SOLO DEEP,4.95,225
800,2,3,standard,low,no,no,1.98,0.99,1.07,90,SOLO STANDARD,1.98,90
